Traffic,Week_day,Hour
0.0348429919457561,Friday,1
0.008160132314851194,Friday,2
0.0063707210138087425,Friday,3
0.009815945238653328,Friday,4
0.036388137591296665,Friday,5
0.1556077414145676,Friday,6
0.5080520345482129,Friday,7
0.6895202427676985,Friday,8
0.6651733624468965,Friday,9
0.6412560820253403,Friday,10
0.6451731850065378,Friday,11
0.6830138047258456,Friday,12
0.6912280598540584,Friday,13
0.7479883292988446,Friday,14
0.8644991031460929,Friday,15
0.8902431394818454,Friday,16
0.8466719252540763,Friday,17
0.747222280669789,Friday,18
0.6261159550535789,Friday,19
0.5183678589582346,Friday,20
0.3883275799780139,Friday,21
0.27256495170481526,Friday,22
0.22233589806320356,Friday,23
0.16913496449622822,Saturday,0
0.09864665566274183,Saturday,1
0.05411316585279815,Saturday,2
0.030122970135483797,Saturday,3
0.014970768008639057,Saturday,4
0.027052294957422996,Saturday,5
0.09726167473353942,Saturday,6
0.26363952187460343,Saturday,7
0.4825686894958088,Saturday,8
0.643779754086864,Saturday,9
0.7383726366658441,Saturday,10
0.8286653259831739,Saturday,11
0.8664431648515761,Saturday,12
0.9134605650452433,Saturday,13
0.8533328584307337,Saturday,14
0.8194390370790399,Saturday,15
0.7561299046067955,Saturday,16
0.7201223101529748,Saturday,17
0.6960940639442289,Saturday,18
0.6368583444983241,Saturday,19
0.5359935786298385,Saturday,20
0.4042194519887365,Saturday,21
0.29789058652296363,Saturday,22
0.22911636774435712,Saturday,23
0.24748750604342376,Sunday,0
0.164961705063625,Sunday,1
0.10089784059437505,Sunday,2
0.05591035454353576,Sunday,3
0.029126191225333983,Sunday,4
0.012173995819497662,Sunday,5
0.04124876520901657,Sunday,6
0.10529380888299578,Sunday,7
0.23773642755688162,Sunday,8
0.34506394282630004,Sunday,9
0.46162380836871714,Sunday,10
0.602065433486983,Sunday,11
0.7313529888773691,Sunday,12
0.8116937178420969,Sunday,13
0.8482159378275582,Sunday,14
0.7831507946833085,Sunday,15
0.8372008328238333,Sunday,16
0.8568869596513862,Sunday,17
0.8012963352853936,Sunday,18
0.7174033872167999,Sunday,19
0.6116366800755462,Sunday,20
0.43946491840449087,Sunday,21
0.28238330193245786,Sunday,22
0.16905164748465565,Sunday,23
0.05613748307892909,Monday,0
0.028352483292610392,Monday,1
0.006677209553441158,Monday,2
0.004205467345673468,Monday,3
0.008085068272445947,Monday,4
0.04407706247473159,Monday,5
0.16534177878806133,Monday,6
0.5033449398779382,Monday,7
0.6972460072968126,Monday,8
0.675002365490423,Monday,9
0.6196801364362687,Monday,10
0.6342204354147194,Monday,11
0.6353156281687219,Monday,12
0.6562870871585063,Monday,13
0.6932247416402952,Monday,14
0.8465290390026715,Monday,15
0.9035434940311571,Monday,16
0.8692977597172141,Monday,17
0.7258992529219206,Monday,18
0.5923545675890637,Monday,19
0.46911325993993425,Monday,20
0.31414996381817506,Monday,21
0.2145298113051788,Monday,22
0.1828549229387899,Monday,23
0.07360747283146975,Tuesday,0
0.024949288262026054,Tuesday,1
0.0078932611697322,Tuesday,2
0.004525836974123912,Tuesday,3
0.007134571497295359,Tuesday,4
0.03852115913880194,Tuesday,5
0.1570624486345185,Tuesday,6
0.487983048422584,Tuesday,7
0.6703127506268175,Tuesday,8
0.6662712926320309,Tuesday,9
0.645302223545343,Tuesday,10
0.6487116092793288,Tuesday,11
0.6577036991521475,Tuesday,12
0.6664783394552181,Tuesday,13
0.6894061203227526,Tuesday,14
0.8292990011215322,Tuesday,15
0.9016047544861711,Tuesday,16
0.847551649531379,Tuesday,17
0.7426617327247197,Tuesday,18
0.6256584020258837,Tuesday,19
0.4940639102832635,Tuesday,20
0.33973209512182434,Tuesday,21
0.23547665850412566,Tuesday,22
0.19123340819913226,Tuesday,23
0.08416939963958346,Wednesday,0
0.03188002181830516,Wednesday,1
0.012593650540469058,Wednesday,2
0.006079416523889567,Wednesday,3
0.004762973430280106,Wednesday,4
0.03721536727418809,Wednesday,5
0.15616531897979433,Wednesday,6
0.49130346224989396,Wednesday,7
0.6864562059271669,Wednesday,8
0.6790140864367337,Wednesday,9
0.6490444464408054,Wednesday,10
0.6554862458289492,Wednesday,11
0.6944112102681507,Wednesday,12
0.7008459733624075,Wednesday,13
0.7428442666229458,Wednesday,14
0.8437024676181183,Wednesday,15
0.8896997679250027,Wednesday,16
0.8717300750540344,Wednesday,17
0.8006851059235636,Wednesday,18
0.7155250463697841,Wednesday,19
0.601267998576722,Wednesday,20
0.45120173362339966,Wednesday,21
0.34946458706145483,Wednesday,22
0.24823197777888464,Wednesday,23
0.32794642642508925,Thursday,0
0.19577725916142008,Thursday,1
0.08595250761161904,Thursday,2
0.051834864593279226,Thursday,3
0.029619871806174675,Thursday,4
0.026508158224139718,Thursday,5
0.08177656764074905,Thursday,6
0.22069847207497825,Thursday,7
0.30182400579310825,Thursday,8
0.36298139363165277,Thursday,9
0.5296193989191901,Thursday,10
0.7215440908078881,Thursday,11
0.7443863633361193,Thursday,12
0.8383484501295628,Thursday,13
0.8879438695948346,Thursday,14
0.8634295956520665,Thursday,15
0.8418564410809553,Thursday,16
0.8544752516283288,Thursday,17
0.7496920363749742,Thursday,18
0.722203368619412,Thursday,19
0.6138286904645702,Thursday,20
0.45051190498189075,Thursday,21
0.3342717942577641,Thursday,22
0.22338774507831283,Thursday,23
0.0,Friday,0
